NAME_2,Precio
Arnsberg,45450.08901515151
Berlin,48399.73965426925
Brandenburg,44280.05277044855
Braunschweig,42991.83017902813
Bremen,44164.26174496644
Bremerhaven,56705.68571428571
Chemnitz,46162.32972136223
Darmstadt,44516.79450226848
Dessau,44116.96254681648
Detmold,44221.11188369153
Dresden,44021.78645066274
Dusseldorf,46071.70109119252
Freiburg,44524.35009765625
Gießen,43804.471794871795
Halle,47627.7012987013
Hamburg,50900.751992031874
Hannover,45434.460370994944
Karlsruhe,44999.1343952215
Kassel,41801.99590163935
Koblenz,47465.46159695817
Koln,45649.6463110668
Leipzig,44335.769230769234
Luneburg,44455.34426229508
Lüneburg,43946.522664199816
Magdeburg,46888.79051987768
Mecklenburg-Vorpommern,42359.10526315789
Mittelfranken,43988.49114331723
Munster,44365.57176749704
Niederbayern,46275.79706877114
Oberbayern,46338.82949446605
Oberfranken,40644.70427350427
Oberpfalz,45328.19901477832
Rheinhessen-Pfalz,45071.37261146497
Saarland,56180.84897025172
Schleswig-Holstein,49649.82410051399
Schwaben,46616.008125
Stuttgart,42585.44384896468
Thüringen,45684.29674572532
Trier,43721.34945054945
Tübingen,45004.912280701756
Unterfranken,42752.914826498425
Weser-Ems,44249.714211886305
