,Brand,Model,Body,Fuel type,Kms,Horsepower,Year,average_price_ES,num_cars_spa,average_price_ger,num_cars_ger,average_profitability
58,Audi,Q3,SUV,Petrol,"(30001, 60000)","(351, 450)","(2019, 2021)",72454,18,61913,27,10540
56,Audi,Q3,SUV,Petrol,"(15000, 30000)","(351, 450)","(2019, 2021)",73990,11,64347,16,9643
21,Mercedes-Benz,GLC,SUV,Diesel,"(100001, 200000)","(251, 350)","(2016, 2018)",41017,8,33824,22,7192
55,Audi,Q3,SUV,Petrol,"(15000, 30000)","(161, 250)","(2019, 2021)",47552,14,40629,25,6923
27,Mercedes-Benz,GLC,SUV,Hybrid,"(60001, 100000)","(251, 350)","(2016, 2018)",38156,6,33027,8,5128
46,Audi,e-tron,SUV,Electric,"(15000, 30000)","(351, 450)","(2019, 2021)",67273,11,63483,33,3790
7,Mercedes-Benz,A,sedan,Diesel,"(60001, 100000)","(0, 160)","(2019, 2021)",28786,6,25200,16,3586
54,Audi,Q3,SUV,Petrol,"(15000, 30000)","(0, 160)","(2019, 2021)",37359,13,33961,10,3398
30,Mercedes-Benz,GLC,SUV,Diesel,"(30001, 60000)","(161, 250)","(2019, 2021)",47189,17,44040,22,3149
57,Audi,Q3,SUV,Petrol,"(30001, 60000)","(0, 160)","(2019, 2021)",36986,28,34035,14,2950
20,Mercedes-Benz,GLC,SUV,Diesel,"(100001, 200000)","(161, 250)","(2016, 2018)",32958,71,30162,59,2795
56,Mercedes-Benz,C,familiar,Diesel,"(15000, 30000)","(161, 250)","(2019, 2021)",38434,7,35648,8,2785
24,BMW,Serie 5,familiar,Diesel,"(100001, 200000)","(161, 250)","(2016, 2018)",24428,10,21671,10,2757
12,Audi,A4,sedán,Diesel,"(100001, 200000)","(0, 160)","(2013, 2015)",16186,46,13575,19,2610
64,Audi,Q5,SUV,Diesel,"(100001, 200000)","(251, 350)","(2013, 2015)",26679,7,24166,34,2513
49,Audi,Q2,SUV,Diesel,"(60001, 100000)","(0, 160)","(2019, 2021)",27110,30,24634,9,2476
51,Audi,Q3,SUV,Diesel,"(100001, 200000)","(0, 160)","(2016, 2018)",21561,18,19239,14,2321
0,Mercedes-Benz,A,sedan,Diesel,"(100001, 200000)","(0, 160)","(2016, 2018)",19832,23,17625,34,2207
42,Mercedes-Benz,GLA,SUV,Diesel,"(100001, 200000)","(0, 160)","(2013, 2015)",18817,17,16611,6,2205
51,Mercedes-Benz,C,familiar,Diesel,"(100001, 200000)","(161, 250)","(2016, 2018)",23850,34,21670,25,2179
16,Mercedes-Benz,GLC,SUV,Diesel,"(30001, 60000)","(161, 250)","(2016, 2018)",35818,11,33660,11,2157
49,Mercedes-Benz,C,familiar,Diesel,"(100001, 200000)","(161, 250)","(2013, 2015)",18830,6,16718,42,2111
