NAME_2,Precio
Arnsberg,62983.125
Berlin,64209.5
Brandenburg,63930.0
Braunschweig,61493.333333333336
Chemnitz,71385.0
D_sseldorf,67218.0
Darmstadt,67101.6
Detmold,70193.33333333333
Freiburg,68690.0
Gie_en,64625.0
Halle,68890.0
Hannover,62502.5
K_ln,64561.333333333336
Kassel,77140.0
Koblenz,63745.0
L_neburg,67375.0
Leipzig,69903.0
Luneburg,67990.0
Magdeburg,67678.0
Mittelfranken,62292.0
Munster,59800.0
Niederbayern,71977.0
Oberbayern,66479.5
Oberfranken,62880.0
Rheinhessen-Pfalz,62657.5
Saarland,61455.0
Schleswig-Holstein,66299.6
Stuttgart,64825.42857142857
T_bingen,64484.5
Th_ringen,67340.0
Unterfranken,64970.0
Weser-Ems,64800.0
